TC Id,Document,Page Number,Non compliant,Compliant,Category,Sub Bucket,Reasoning,Rule citation,Remarks
TC01,PGIM Fixed Income Multi-Asset Credit Strategy,3,Overall sector allocation contributed to superior performance during the quarter,Overall sector allocation contributed to performance during the quarter [or specify benchmark comparison], Misleading or Unsubstantiated Claims,Unsubstantiated Superlative,The use of the superlative 'superior' to describe quarterly results is an absolute claim that lacks a defined basis of comparison or substantiation. SEC Rule 206(4)-1 prohibits misleading statements that lack a reasonable basis.,SEC Marketing Rule 206(4)-1,Absolute ranking/award claim lacks a disclosed measurement period and may mislead readers regarding current status. Please specify applicable years or remove.
TC01,PGIM Fixed Income Multi-Asset Credit Strategy,2,Past performance is a guarantee or a reliable indicator of future results.,,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"This statement explicitly uses 'guarantee' in connection with future results, which implies certainty of outcome and is misleading in an investment context.",SEC Marketing Rule 206(4)-1,Use of 'guarantee/guaranteed' implies certainty of outcome and is misleading in an investment context. Please remove and revise to non-promissory language.
TC01,PGIM Fixed Income Multi-Asset Credit Strategy,2,Past performance is a guarantee or a reliable indicator of future results.,Past performance is not a guarantee or a reliable indicator of future results.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,SEC Marketing Rule 206(4)-1(a)(1) prohibits making any untrue statement of a material fact. Claiming past performance guarantees future results is factually incorrect and misleading to investors.,"SEC Marketing Rule 206(4)-1(a)(1), FINRA Rule 2210(d)(1)(B)",The disclosure contains a critical typographical error that inverts the meaning of the standard regulatory disclaimer. It incorrectly states that past performance is a guarantee of future results.
TC02,BlackRock Global Equity Market Neutral Fund,1,As of XX/XX/XXXX,"As of December 31, 2024",Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,Failure to provide a specific date for performance data makes the information potentially misleading as the investor cannot determine the timeliness or relevance of the data provided.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The document contains placeholder text ('XX/XX/XXXX') for the 'as of' date, which is a material omission as it fails to identify the specific period for which the performance and data are current."
TC03,BlackRock Health Sciences Opportunities Fund,1,Morningstar has awarded the Fund a BRONZE medal (Effective 12/31/2025).†,Morningstar has awarded the Fund a BRONZE medal (Effective 12/31/2024).† [or current applicable date],"Rankings, Ratings & Data Context Validation",Missing Time Period or Evaluation Date,Presenting a rating with a future effective date is factually impossible at the time of publication and constitutes a misleading statement regarding the temporal context of the award.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210","The rating effective date is listed as 12/31/2025, which is in the future. Please update to the actual current effective date to ensure temporal accuracy."
TC03,BlackRock Health Sciences Opportunities Fund,1,Rated against 167 Health Funds... Morningstar Ranking 49/176 50/167 46/149 4/118,Ensure the narrative text identifying '167 funds' matches the 1-year ranking universe of '176' (or vice versa).,"Rankings, Ratings & Data Context Validation",Inability to Validate Underlying Data,Internal inconsistencies in the reported number of funds in a peer group prevent the validation of the ranking's accuracy and may mislead the investor regarding the fund's relative standing.,"SEC Marketing Rule 206(4)-1(a)(2), FINRA Rule 2210",There is a data discrepancy between the disclosure text (167 funds) and the ranking table (176 funds for 1-year). Reconcile these figures to ensure data integrity.
TC03,BlackRock Health Sciences Opportunities Fund,1,Performance data shown represents past performance which is guarantee of future results.,Performance data shown represents past performance which is no guarantee of future results.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,Falsely stating that past performance guarantees future results is a material misstatement that violates the core principle of fair and balanced communication and could mislead investors about the risks of the investment.,"SEC Marketing Rule 206(4)-1(a)(1), FINRA Rule 2210(d)(1)(B)","The disclosure contains a critical typographical error that inverts the meaning of a required regulatory disclaimer, falsely stating that past performance guarantees future results."
TC03,BlackRock Health Sciences Opportunities Fund,1,Number of Holdings -,Number of Holdings [Insert actual number of holdings],Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,"Leaving material portfolio characteristics blank or as placeholders prevents investors from understanding the diversification and composition of the fund, failing to provide a complete and accurate picture of the investment.",FINRA Rule 2210(d)(1)(A),"The 'Key Facts' section contains a dash for the 'Number of Holdings,' indicating that material data is missing or was left as a placeholder."
TC03,BlackRock Health Sciences Opportunities Fund,3,Average Market Capitalization (millions) -,Average Market Capitalization (millions) [Insert actual market capitalization value],Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,"Omitting key portfolio metrics like average market capitalization deprives investors of essential information regarding the size and risk profile of the companies in which the fund invests, which is necessary for an informed investment decision.",FINRA Rule 2210(d)(1)(A),"The 'Portfolio Characteristics' table contains a dash for 'Average Market Capitalization,' representing incomplete or missing data for a material portfolio metric."
TC04,Nuveen Churchill Private Capital Income Fund (PCAP),1,seeks to guarantee current income and attractive risk averse return potential,seeks to provide current income and attractive risk averse return potential,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,The use of the word 'guarantee' in relation to investment income and return potential is promissory and creates a misleading expectation of certainty. SEC Rule 206(4)-1 and FINRA Rule 2210 prohibit the use of promissory language or guarantees of future performance.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210",Use of 'guarantee/guaranteed' implies certainty of outcome and is misleading in an investment context. Please remove and revise to non-promissory language.
